"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"603","c328","H3N2_T","H1N1_T","H4N4_T","H2N3_T","P(c328 | G=T)=1/576","H3N2_T, H1N1_T, H4N4_T, H2N3_T",1226
"573","c319","H3N1_T","H4N3_T","H2N2_T","H1N4_T","P(c319 | G=T)=1/576","H3N1_T, H4N3_T, H2N2_T, H1N4_T",1227
"156","c155","H2N1_T","H1N4_T","H4N2_T","H3N3_T","P(c155 | G=T)=1/576","H2N1_T, H1N4_T, H4N2_T, H3N3_T",1228
"830","c42","H1N2_T","H2N3_T","H3N4_T","H4N1_T","P(c42 | G=T)=1/576","H1N2_T, H2N3_T, H3N4_T, H4N1_T",1229
"1146","c550","H4N4_T","H1N3_T","H2N2_T","H3N1_T","P(c550 | G=T)=1/576","H4N4_T, H1N3_T, H2N2_T, H3N1_T",1230
"217","c177","H2N1_T","H4N4_T","H1N2_T","H3N3_T","P(c177 | G=T)=1/576","H2N1_T, H4N4_T, H1N2_T, H3N3_T",1231
"39","c112","H1N4_T","H2N1_T","H4N3_T","H3N2_T","P(c112 | G=T)=1/576","H1N4_T, H2N1_T, H4N3_T, H3N2_T",1232
"1120","c541","H4N4_T","H1N1_T","H2N2_T","H3N3_T","P(c541 | G=T)=1/576","H4N4_T, H1N1_T, H2N2_T, H3N3_T",1233
"947","c468","H4N1_T","H3N4_T","H2N3_T","H1N2_T","P(c468 | G=T)=1/576","H4N1_T, H3N4_T, H2N3_T, H1N2_T",1234
"602","c328","H3N2_T","H1N1_T","H4N4_T","H2N3_T","P(c328 | G=T)=1/576","H3N2_T, H1N1_T, H4N4_T, H2N3_T",1235
"1036","c506","H4N3_T","H1N1_T","H2N4_T","H3N2_T","P(c506 | G=T)=1/576","H4N3_T, H1N1_T, H2N4_T, H3N2_T",1236
"58","c117","H1N4_T","H2N3_T","H3N1_T","H4N2_T","P(c117 | G=T)=1/576","H1N4_T, H2N3_T, H3N1_T, H4N2_T",1237
"542","c301","H3N1_T","H2N2_T","H1N3_T","H4N4_T","P(c301 | G=T)=1/576","H3N1_T, H2N2_T, H1N3_T, H4N4_T",1238
"128","c148","H2N1_T","H1N2_T","H4N4_T","H3N3_T","P(c148 | G=T)=1/576","H2N1_T, H1N2_T, H4N4_T, H3N3_T",1239
"1249","c69","H1N2_T","H4N4_T","H2N1_T","H3N3_T","P(c69 | G=T)=1/576","H1N2_T, H4N4_T, H2N1_T, H3N3_T",1240
"1005","c493","H4N2_T","H3N1_T","H1N3_T","H2N4_T","P(c493 | G=T)=1/576","H4N2_T, H3N1_T, H1N3_T, H2N4_T",1241
"538","c30","H1N1_T","H4N3_T","H2N4_T","H3N2_T","P(c30 | G=T)=1/576","H1N1_T, H4N3_T, H2N4_T, H3N2_T",1242
"701","c366","H3N3_T","H1N2_T","H2N4_T","H4N1_T","P(c366 | G=T)=1/576","H3N3_T, H1N2_T, H2N4_T, H4N1_T",1243
"676","c357","H3N2_T","H4N4_T","H1N1_T","H2N3_T","P(c357 | G=T)=1/576","H3N2_T, H4N4_T, H1N1_T, H2N3_T",1244
"18","c107","H1N3_T","H4N4_T","H3N1_T","H2N2_T","P(c107 | G=T)=1/576","H1N3_T, H4N4_T, H3N1_T, H2N2_T",1245
"609","c33","H1N1_T","H4N4_T","H2N2_T","H3N3_T","P(c33 | G=T)=1/576","H1N1_T, H4N4_T, H2N2_T, H3N3_T",1246
"499","c290","H3N1_T","H1N2_T","H2N4_T","H4N3_T","P(c290 | G=T)=1/576","H3N1_T, H1N2_T, H2N4_T, H4N3_T",1247
"260","c193","H2N2_T","H3N1_T","H1N3_T","H4N4_T","P(c193 | G=T)=1/576","H2N2_T, H3N1_T, H1N3_T, H4N4_T",1248
"824","c418","H3N4_T","H2N3_T","H1N2_T","H4N1_T","P(c418 | G=T)=1/576","H3N4_T, H2N3_T, H1N2_T, H4N1_T",1249
"880","c440","H4N1_T","H1N3_T","H3N4_T","H2N2_T","P(c440 | G=T)=1/576","H4N1_T, H1N3_T, H3N4_T, H2N2_T",1250
"1151","c552","H4N4_T","H1N3_T","H3N2_T","H2N1_T","P(c552 | G=T)=1/576","H4N4_T, H1N3_T, H3N2_T, H2N1_T",1251
"113","c142","H1N4_T","H4N3_T","H2N2_T","H3N1_T","P(c142 | G=T)=1/576","H1N4_T, H4N3_T, H2N2_T, H3N1_T",1252
"26","c109","H1N4_T","H2N1_T","H3N2_T","H4N3_T","P(c109 | G=T)=1/576","H1N4_T, H2N1_T, H3N2_T, H4N3_T",1253
"956","c473","H4N2_T","H1N3_T","H2N1_T","H3N4_T","P(c473 | G=T)=1/576","H4N2_T, H1N3_T, H2N1_T, H3N4_T",1254
"291","c203","H2N2_T","H3N4_T","H4N1_T","H1N3_T","P(c203 | G=T)=1/576","H2N2_T, H3N4_T, H4N1_T, H1N3_T",1255
"394","c244","H2N3_T","H4N1_T","H3N4_T","H1N2_T","P(c244 | G=T)=1/576","H2N3_T, H4N1_T, H3N4_T, H1N2_T",1256
"988","c485","H4N2_T","H2N3_T","H1N1_T","H3N4_T","P(c485 | G=T)=1/576","H4N2_T, H2N3_T, H1N1_T, H3N4_T",1257
"463","c277","H2N4_T","H4N1_T","H1N2_T","H3N3_T","P(c277 | G=T)=1/576","H2N4_T, H4N1_T, H1N2_T, H3N3_T",1258
"245","c187","H2N2_T","H1N3_T","H4N1_T","H3N4_T","P(c187 | G=T)=1/576","H2N2_T, H1N3_T, H4N1_T, H3N4_T",1259
"1062","c521","H4N3_T","H2N2_T","H1N1_T","H3N4_T","P(c521 | G=T)=1/576","H4N3_T, H2N2_T, H1N1_T, H3N4_T",1260
"1099","c535","H4N3_T","H3N2_T","H2N1_T","H1N4_T","P(c535 | G=T)=1/576","H4N3_T, H3N2_T, H2N1_T, H1N4_T",1261
"427","c262","H2N4_T","H1N3_T","H3N2_T","H4N1_T","P(c262 | G=T)=1/576","H2N4_T, H1N3_T, H3N2_T, H4N1_T",1262
"1003","c491","H4N2_T","H2N4_T","H3N1_T","H1N3_T","P(c491 | G=T)=1/576","H4N2_T, H2N4_T, H3N1_T, H1N3_T",1263
"1035","c506","H4N3_T","H1N1_T","H2N4_T","H3N2_T","P(c506 | G=T)=1/576","H4N3_T, H1N1_T, H2N4_T, H3N2_T",1264
"472","c28","H1N1_T","H4N2_T","H3N4_T","H2N3_T","P(c28 | G=T)=1/576","H1N1_T, H4N2_T, H3N4_T, H2N3_T",1265
"459","c276","H2N4_T","H3N3_T","H4N2_T","H1N1_T","P(c276 | G=T)=1/576","H2N4_T, H3N3_T, H4N2_T, H1N1_T",1266
"748","c383","H3N3_T","H2N4_T","H4N1_T","H1N2_T","P(c383 | G=T)=1/576","H3N3_T, H2N4_T, H4N1_T, H1N2_T",1267
"698","c365","H3N3_T","H1N2_T","H2N1_T","H4N4_T","P(c365 | G=T)=1/576","H3N3_T, H1N2_T, H2N1_T, H4N4_T",1268
"902","c45","H1N2_T","H2N4_T","H3N1_T","H4N3_T","P(c45 | G=T)=1/576","H1N2_T, H2N4_T, H3N1_T, H4N3_T",1269
"620","c333","H3N2_T","H1N4_T","H2N1_T","H4N3_T","P(c333 | G=T)=1/576","H3N2_T, H1N4_T, H2N1_T, H4N3_T",1270
"829","c42","H1N2_T","H2N3_T","H3N4_T","H4N1_T","P(c42 | G=T)=1/576","H1N2_T, H2N3_T, H3N4_T, H4N1_T",1271
"680","c359","H3N2_T","H4N4_T","H2N1_T","H1N3_T","P(c359 | G=T)=1/576","H3N2_T, H4N4_T, H2N1_T, H1N3_T",1272
"548","c305","H3N1_T","H2N3_T","H1N2_T","H4N4_T","P(c305 | G=T)=1/576","H3N1_T, H2N3_T, H1N2_T, H4N4_T",1273
"679","c359","H3N2_T","H4N4_T","H2N1_T","H1N3_T","P(c359 | G=T)=1/576","H3N2_T, H4N4_T, H2N1_T, H1N3_T",1274
"543","c302","H3N1_T","H2N2_T","H1N4_T","H4N3_T","P(c302 | G=T)=1/576","H3N1_T, H2N2_T, H1N4_T, H4N3_T",1275
"753","c384","H3N3_T","H2N4_T","H4N2_T","H1N1_T","P(c384 | G=T)=1/576","H3N3_T, H2N4_T, H4N2_T, H1N1_T",1276
"478","c281","H2N4_T","H4N2_T","H1N1_T","H3N3_T","P(c281 | G=T)=1/576","H2N4_T, H4N2_T, H1N1_T, H3N3_T",1277
"841","c425","H3N4_T","H4N2_T","H1N1_T","H2N3_T","P(c425 | G=T)=1/576","H3N4_T, H4N2_T, H1N1_T, H2N3_T",1278
"1056","c517","H4N3_T","H2N1_T","H1N2_T","H3N4_T","P(c517 | G=T)=1/576","H4N3_T, H2N1_T, H1N2_T, H3N4_T",1279
"987","c484","H4N2_T","H2N1_T","H3N4_T","H1N3_T","P(c484 | G=T)=1/576","H4N2_T, H2N1_T, H3N4_T, H1N3_T",1280
"672","c355","H3N2_T","H4N3_T","H2N1_T","H1N4_T","P(c355 | G=T)=1/576","H3N2_T, H4N3_T, H2N1_T, H1N4_T",1281
"1277","c77","H1N3_T","H2N2_T","H3N1_T","H4N4_T","P(c77 | G=T)=1/576","H1N3_T, H2N2_T, H3N1_T, H4N4_T",1282
"121","c145","H2N1_T","H1N2_T","H3N3_T","H4N4_T","P(c145 | G=T)=1/576","H2N1_T, H1N2_T, H3N3_T, H4N4_T",1283
"536","c3","H1N1_T","H2N2_T","H4N3_T","H3N4_T","P(c3 | G=T)=1/576","H1N1_T, H2N2_T, H4N3_T, H3N4_T",1284
"569","c316","H3N1_T","H4N2_T","H2N4_T","H1N3_T","P(c316 | G=T)=1/576","H3N1_T, H4N2_T, H2N4_T, H1N3_T",1285
"716","c37","H1N2_T","H2N1_T","H3N3_T","H4N4_T","P(c37 | G=T)=1/576","H1N2_T, H2N1_T, H3N3_T, H4N4_T",1286
"207","c175","H2N1_T","H4N3_T","H3N2_T","H1N4_T","P(c175 | G=T)=1/576","H2N1_T, H4N3_T, H3N2_T, H1N4_T",1287
"158","c156","H2N1_T","H1N4_T","H4N3_T","H3N2_T","P(c156 | G=T)=1/576","H2N1_T, H1N4_T, H4N3_T, H3N2_T",1288
"454","c273","H2N4_T","H3N3_T","H1N1_T","H4N2_T","P(c273 | G=T)=1/576","H2N4_T, H3N3_T, H1N1_T, H4N2_T",1289
"1022","c50","H1N2_T","H3N1_T","H2N4_T","H4N3_T","P(c50 | G=T)=1/576","H1N2_T, H3N1_T, H2N4_T, H4N3_T",1290
"1260","c73","H1N3_T","H2N1_T","H3N2_T","H4N4_T","P(c73 | G=T)=1/576","H1N3_T, H2N1_T, H3N2_T, H4N4_T",1291
"75","c125","H1N4_T","H3N2_T","H2N1_T","H4N3_T","P(c125 | G=T)=1/576","H1N4_T, H3N2_T, H2N1_T, H4N3_T",1292
"428","c262","H2N4_T","H1N3_T","H3N2_T","H4N1_T","P(c262 | G=T)=1/576","H2N4_T, H1N3_T, H3N2_T, H4N1_T",1293
"1047","c511","H4N3_T","H1N2_T","H3N1_T","H2N4_T","P(c511 | G=T)=1/576","H4N3_T, H1N2_T, H3N1_T, H2N4_T",1294
"556","c312","H3N1_T","H2N4_T","H4N3_T","H1N2_T","P(c312 | G=T)=1/576","H3N1_T, H2N4_T, H4N3_T, H1N2_T",1295
"1098","c534","H4N3_T","H3N2_T","H1N4_T","H2N1_T","P(c534 | G=T)=1/576","H4N3_T, H3N2_T, H1N4_T, H2N1_T",1296
"107","c140","H1N4_T","H4N2_T","H3N3_T","H2N1_T","P(c140 | G=T)=1/576","H1N4_T, H4N2_T, H3N3_T, H2N1_T",1297
"799","c403","H3N4_T","H1N2_T","H4N1_T","H2N3_T","P(c403 | G=T)=1/576","H3N4_T, H1N2_T, H4N1_T, H2N3_T",1298
"531","c298","H3N1_T","H1N4_T","H2N3_T","H4N2_T","P(c298 | G=T)=1/576","H3N1_T, H1N4_T, H2N3_T, H4N2_T",1299
"725","c374","H3N3_T","H2N1_T","H1N4_T","H4N2_T","P(c374 | G=T)=1/576","H3N3_T, H2N1_T, H1N4_T, H4N2_T",1300
"135","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",1301
"964","c477","H4N2_T","H1N4_T","H2N1_T","H3N3_T","P(c477 | G=T)=1/576","H4N2_T, H1N4_T, H2N1_T, H3N3_T",1302
"141","c150","H2N1_T","H1N3_T","H3N4_T","H4N2_T","P(c150 | G=T)=1/576","H2N1_T, H1N3_T, H3N4_T, H4N2_T",1303
"1242","c67","H1N2_T","H4N3_T","H3N1_T","H2N4_T","P(c67 | G=T)=1/576","H1N2_T, H4N3_T, H3N1_T, H2N4_T",1304
"387","c242","H2N3_T","H4N1_T","H1N4_T","H3N2_T","P(c242 | G=T)=1/576","H2N3_T, H4N1_T, H1N4_T, H3N2_T",1305
"1061","c520","H4N3_T","H2N1_T","H3N4_T","H1N2_T","P(c520 | G=T)=1/576","H4N3_T, H2N1_T, H3N4_T, H1N2_T",1306
"781","c397","H3N4_T","H1N1_T","H2N2_T","H4N3_T","P(c397 | G=T)=1/576","H3N4_T, H1N1_T, H2N2_T, H4N3_T",1307
"106","c140","H1N4_T","H4N2_T","H3N3_T","H2N1_T","P(c140 | G=T)=1/576","H1N4_T, H4N2_T, H3N3_T, H2N1_T",1308
"388","c242","H2N3_T","H4N1_T","H1N4_T","H3N2_T","P(c242 | G=T)=1/576","H2N3_T, H4N1_T, H1N4_T, H3N2_T",1309
"658","c350","H3N2_T","H4N1_T","H1N4_T","H2N3_T","P(c350 | G=T)=1/576","H3N2_T, H4N1_T, H1N4_T, H2N3_T",1310
"617","c332","H3N2_T","H1N3_T","H4N4_T","H2N1_T","P(c332 | G=T)=1/576","H3N2_T, H1N3_T, H4N4_T, H2N1_T",1311
"554","c311","H3N1_T","H2N4_T","H4N2_T","H1N3_T","P(c311 | G=T)=1/576","H3N1_T, H2N4_T, H4N2_T, H1N3_T",1312
"977","c481","H4N2_T","H2N1_T","H1N3_T","H3N4_T","P(c481 | G=T)=1/576","H4N2_T, H2N1_T, H1N3_T, H3N4_T",1313
"315","c215","H2N2_T","H4N4_T","H3N1_T","H1N3_T","P(c215 | G=T)=1/576","H2N2_T, H4N4_T, H3N1_T, H1N3_T",1314
"336","c224","H2N3_T","H1N2_T","H4N4_T","H3N1_T","P(c224 | G=T)=1/576","H2N3_T, H1N2_T, H4N4_T, H3N1_T",1315
"728","c376","H3N3_T","H2N1_T","H4N4_T","H1N2_T","P(c376 | G=T)=1/576","H3N3_T, H2N1_T, H4N4_T, H1N2_T",1316
"438","c265","H2N4_T","H3N1_T","H1N2_T","H4N3_T","P(c265 | G=T)=1/576","H2N4_T, H3N1_T, H1N2_T, H4N3_T",1317
"990","c485","H4N2_T","H2N3_T","H1N1_T","H3N4_T","P(c485 | G=T)=1/576","H4N2_T, H2N3_T, H1N1_T, H3N4_T",1318
"795","c401","H3N4_T","H1N2_T","H2N1_T","H4N3_T","P(c401 | G=T)=1/576","H3N4_T, H1N2_T, H2N1_T, H4N3_T",1319
"155","c155","H2N1_T","H1N4_T","H4N2_T","H3N3_T","P(c155 | G=T)=1/576","H2N1_T, H1N4_T, H4N2_T, H3N3_T",1320
